phase,match_id,map_name,start_time,end_time,safety_x,safety_y,safety_radius,poison_x,poison_y,poison_radius,map
1,201ff882-7691-4b52-ae70-109b3ca02038,Baltic_Main,100,599,424349.875,672058.3125,192150.875,424353.6875,672120.0625,192059.71875,Erangel
2,201ff882-7691-4b52-ae70-109b3ca02038,Baltic_Main,609,779,510021.90625,680989.75,105753.859375,510142.03125,681002.1875,105632.84375,Erangel
3,201ff882-7691-4b52-ae70-109b3ca02038,Baltic_Main,789,958,538014.875,666145.625,63469.7890625,538074.4375,666113.875,63379.70703125,Erangel
4,201ff882-7691-4b52-ae70-109b3ca02038,Baltic_Main,968,1138,539038.6875,663314.75,38047.91015625,539039.4375,663312.5,38027.82421875,Erangel
5,201ff882-7691-4b52-ae70-109b3ca02038,Baltic_Main,1148,1288,546233.8125,658211.625,26359.94921875,547246.1875,657493.8125,24718.083984375,Erangel
6,201ff882-7691-4b52-ae70-109b3ca02038,Baltic_Main,1298,1357,547260.8125,657480.5,24688.98828125,551595.4375,653531.875,16066.75390625,Erangel
1,27ccb1dd-6a00-4d02-b3fc-bd0284a55c2c,Desert_Main,100,508,394159.65625,587150.9375,192059.71875,394159.65625,587150.9375,192059.71875,Miramar
2,27ccb1dd-6a00-4d02-b3fc-bd0284a55c2c,Desert_Main,518,688,364182.6875,549293.9375,105684.015625,364164.9375,549271.5,105632.84375,Miramar
3,27ccb1dd-6a00-4d02-b3fc-bd0284a55c2c,Desert_Main,698,868,339962.28125,576629.75,63425.24609375,339936.15625,576659.25,63379.70703125,Miramar
4,27ccb1dd-6a00-4d02-b3fc-bd0284a55c2c,Desert_Main,878,1047,326439.34375,579112.8125,38066.71484375,326418.59375,579116.5625,38027.82421875,Miramar
5,27ccb1dd-6a00-4d02-b3fc-bd0284a55c2c,Desert_Main,1057,1227,316104.09375,574150.875,24718.083984375,316104.09375,574150.875,24718.083984375,Miramar
6,27ccb1dd-6a00-4d02-b3fc-bd0284a55c2c,Desert_Main,1237,1336,314268.25,575647.5625,21099.017578125,311715.5625,577728.75,16066.75390625,Miramar
1,4ce6e06a-08d6-4d73-9612-4fadc1df351f,Savage_Main,97,440,157707.921875,139485.671875,145624.0,157703.5,139479.4375,145609.578125,Sanhok
2,4ce6e06a-08d6-4d73-9612-4fadc1df351f,Savage_Main,449,677,197557.59375,144995.6875,101952.609375,197581.25,144998.96875,101926.703125,Sanhok
3,4ce6e06a-08d6-4d73-9612-4fadc1df351f,Savage_Main,687,886,191990.9375,110542.40625,61209.046875,191983.65625,110497.5390625,61156.0234375,Sanhok
4,4ce6e06a-08d6-4d73-9612-4fadc1df351f,Savage_Main,896,1065,211653.765625,95956.953125,30611.513671875,211675.34375,95941.0078125,30578.01171875,Sanhok
5,4ce6e06a-08d6-4d73-9612-4fadc1df351f,Savage_Main,1075,1165,209873.015625,82130.1953125,16563.37109375,209709.125,80874.3671875,15289.005859375,Sanhok
6,4ce6e06a-08d6-4d73-9612-4fadc1df351f,Savage_Main,1175,1265,204447.484375,81156.0546875,8898.818359375,203414.6875,81211.34375,7644.5029296875,Sanhok
